Date,Province/Region/City,"Population (in 10,000s)",Confirmed Cases,Number of Records
13 February 2020,Hubei,5917,34874,1
13 February 2020,Guangdong,11346,1241,1
13 February 2020,Zhejiang,5737,1145,1
13 February 2020,Henan,9605,1169,1
13 February 2020,Hunan,6899,968,1
13 February 2020,Anhui,6324,910,1
13 February 2020,Jiangxi,4648,872,1
13 February 2020,Jiangsu,8051,570,1
13 February 2020,Chongqing,3102,518,1
13 February 2020,Shandong,10047,506,1
13 February 2020,Sichuan,8341,451,1
13 February 2020,Heilongjiang,3773,395,1
13 February 2020,Beijing,2154,366,1
13 February 2020,Shanghai,2424,313,1
13 February 2020,Fujian,3941,279,1
13 February 2020,Hebei,7556,265,1
13 February 2020,Shaanxi,3864,229,1
13 February 2020,Guangxi,4926,222,1
13 February 2020,Yunnan,4830,155,1
13 February 2020,Hainan,934,157,1
13 February 2020,Shanxi,3718,126,1
13 February 2020,Guizhou,3600,135,1
13 February 2020,Liaoning,4359,116,1
13 February 2020,Tianjin,1560,112,1
13 February 2020,Gansu,2637,87,1
13 February 2020,Jilin,2704,84,1
13 February 2020,Inner Mongolia,2534,61,1
13 February 2020,Xinjiang,2487,63,1
13 February 2020,Ningxia,688,64,1
13 February 2020,Hong Kong SAR,745,50,1
13 February 2020,Qinghai,603,18,1
13 February 2020,Taipei and environs,2359,18,1
13 February 2020,Macao SAR,66,10,1
13 February 2020,Xizang,344,1,1
,Total,142823,46550,
