Date,Province/Region/City,"Population (10,000s)",Lab-confirmed,Clinically diagnosed,Total Cases,Suspected Cases,Deaths,Lab-confirmed 1,Clinically diagnosed,Total Cases 1,Deaths 1,Number of Records
14 February 2020,Hubei,5917,1728,3095,4823,1154,1318,36602,15384,51986,116,1
14 February 2020,Guangdong,11346,20,-,20,8,2,1261,-,1261,0,1
14 February 2020,Henan,9605,15,-,15,207,11,1184,-,1184,1,1
14 February 2020,Zhejiang,5737,10,-,10,22,0,1155,-,1155,0,1
14 February 2020,Hunan,6899,20,-,20,53,2,988,-,988,0,1
14 February 2020,Anhui,6324,24,-,24,16,6,934,-,934,1,1
14 February 2020,Jiangxi,4648,28,-,28,43,1,900,-,900,0,1
14 February 2020,Jiangsu,8051,23,-,23,14,0,593,-,593,0,1
14 February 2020,Chongqing,3102,11,-,11,138,4,529,-,529,1,1
14 February 2020,Shandong,10047,13,-,13,37,2,519,-,519,0,1
14 February 2020,Sichuan,8341,12,-,12,77,1,463,-,463,0,1
14 February 2020,Heilongjiang,3773,23,-,23,35,11,418,-,418,2,1
14 February 2020,Beijing,2154,6,-,6,54,3,372,-,372,0,1
14 February 2020,Shanghai,2424,5,-,5,81,1,318,-,318,0,1
14 February 2020,Hebei,7556,18,-,18,12,3,283,-,283,0,1
14 February 2020,Fujian,3941,2,-,2,23,0,281,-,281,0,1
14 February 2020,Shaanxi,3864,1,-,1,37,0,230,-,230,0,1
14 February 2020,Guangxi,4926,4,-,4,79,2,226,-,226,0,1
14 February 2020,Yunnan,4830,7,-,7,29,0,162,-,162,0,1
14 February 2020,Hainan,934,0,-,0,32,4,157,-,157,0,1
14 February 2020,Guizhou,3600,5,-,5,16,1,140,-,140,0,1
14 February 2020,Shanxi,3718,0,-,0,24,0,126,-,126,0,1
14 February 2020,Tianjin,1560,7,-,7,172,3,119,-,119,0,1
14 February 2020,Liaoning,4359,1,-,1,66,1,117,-,117,0,1
14 February 2020,Gansu,2637,3,-,3,0,2,90,-,90,0,1
14 February 2020,Jilin,2704,2,-,2,10,1,86,-,86,0,1
14 February 2020,Ningxia,688,3,-,3,5,0,67,-,67,0,1
14 February 2020,Xinjiang,2487,2,-,2,5,1,65,-,65,0,1
14 February 2020,Inner Mongolia,2534,2,-,2,1,0,63,-,63,0,1
14 February 2020,Hong Kong Sar,745,3,-,3,0,1,53,-,53,0,1
14 February 2020,Qinghai,603,0,-,0,0,0,18,-,18,0,1
14 February 2020,Taipei and environs,2359,0,-,0,0,0,18,-,18,0,1
14 February 2020,Macao Sar,66,0,-,0,0,0,10,-,10,0,1
14 February 2020,Xizang,344,0,-,0,0,0,1,-,1,0,1
,Totals,142823,1998,3095,5093,2450,1381,48548,15384,63932,121,
