Date,Province/Region/City,Confirmed Cases,Number of Records
3 February 2020,Hubei,11177,1
3 February 2020,Zhejiang,724,1
3 February 2020,Guangdong,683,1
3 February 2020,Henan,566,1
3 February 2020,Hunan,521,1
3 February 2020,Anhui,408,1
3 February 2020,Jiangxi,391,1
3 February 2020,Chongqing,300,1
3 February 2020,Jiangsu,271,1
3 February 2020,Sichuan,254,1
3 February 2020,Shandong,246,1
3 February 2020,Beijing,212,1
3 February 2020,Shanghai,193,1
3 February 2020,Fujian,179,1
3 February 2020,Shaanxi,128,1
3 February 2020,Guangxi,127,1
3 February 2020,Heilongjiang,118,1
3 February 2020,Hebei,113,1
3 February 2020,Yunnan,109,1
3 February 2020,Liaoning,70,1
3 February 2020,Hainan,70,1
3 February 2020,Shanxi,66,1
3 February 2020,Gansu,51,1
3 February 2020,Tianjin,49,1
3 February 2020,Guizhou,46,1
3 February 2020,Inner Mongolia,33,1
3 February 2020,Jilin,31,1
3 February 2020,Ningxia,31,1
3 February 2020,Xinjiang,24,1
3 February 2020,Hong Kong Sar,15,1
3 February 2020,Qinghai,13,1
3 February 2020,Taipei,10,1
3 February 2020,Macao Sar,8,1
3 February 2020,Xizang,1,1
,Total,17238,
