Database???Annual by Province
Indicators£ºPer Capita Gross Regional Product(yuan/person)
Year£ºLATEST5
Region,2018,2017,2016,2015,2014
Beijing,140211,128994,118198,106497,99995
Tianjin,120711,118944,115053,107960,105231
Hebei,47772,45387,43062,40255,39984
Shanxi,45328,42060,35532,34919,35070
Inner Mongolia,68302,63764,72064,71101,71046
Liaoning,58008,53527,50791,65354,65201
Jilin,55611,54838,53868,51086,50160
Heilongjiang,43274,41916,40432,39462,39226
Shanghai,134982,126634,116562,103796,97370
Jiangsu,115168,107150,96887,87995,81874
Zhejiang,98643,92057,84916,77644,73002
Anhui,47712,43401,39561,35997,34425
Fujian,91197,82677,74707,67966,63472
Jiangxi,47434,43424,40400,36724,34674
Shandong,76267,72807,68733,64168,60879
Henan,50152,46674,42575,39123,37072
Hubei,66616,60199,55665,50654,47145
Hunan,52949,49558,46382,42754,40271
Guangdong,86412,80932,74016,67503,63469
Guangxi,41489,38102,38027,35190,33090
Hainan,51955,48430,44347,40818,38924
Chongqing,65933,63442,58502,52321,47850
Sichuan,48883,44651,40003,36775,35128
Guizhou,41244,37956,33246,29847,26437
Yunnan,37136,34221,31093,28806,27264
Tibet,43398,39267,35184,31999,29252
Shaanxi,63477,57266,51015,47626,46929
Gansu,31336,28497,27643,26165,26433
Qinghai,47689,44047,43531,41252,39671
Ningxia,54094,50765,47194,43805,41834
Xinjiang,49475,44941,40564,40036,40648
Data Sources£ºNational Bureau of Statistics
